CCV_AUC,SCV_AUC
0.8814,0.79282
0.8832,0.787
0.8815,0.79404
0.88114,0.80926
0.88116,0.78728
0.88142,0.75844
0.87788,0.78408
0.88244,0.77598
0.8825,0.78928
0.8828,0.78356
