CCV_AUC,SCV_AUC
0.93766,0.90826
0.93572,0.92236
0.93488,0.91452
0.93672,0.92318
0.93532,0.93558
0.93486,0.91138
0.93904,0.92672
0.9367,0.9218
0.9332,0.92048
0.93568,0.92124
