CCV_AUC,SCV_AUC
0.79516,0.73714
0.7946,0.73302
0.79702,0.6994
0.79084,0.73324
0.79226,0.65414
0.797,0.7056
0.7963,0.73014
0.78798,0.68978
0.79676,0.69648
0.79086,0.74518
