CCV_AUC,SCV_AUC
0.70224,0.63148
0.70528,0.62498
0.70058,0.61966
0.703,0.63178
0.71006,0.64676
0.70332,0.62912
0.70822,0.63448
0.70254,0.63504
0.70134,0.63206
0.69816,0.629
