CCV_AUC,SCV_AUC
0.8179,0.696
0.8255,0.69386
0.8166,0.69544
0.82456,0.69718
0.82302,0.65188
0.82204,0.71264
0.81572,0.72196
0.8219,0.66362
0.81834,0.68106
0.82286,0.69884
