CCV_AUC,SCV_AUC
0.6796,0.60632
0.6736,0.5998
0.67156,0.58336
0.67576,0.62802
0.67098,0.61254
0.67112,0.6
0.6746,0.60428
0.67146,0.61588
0.67072,0.62704
0.68126,0.6006
