CCV_AUC,SCV_AUC
0.9004,0.84708
0.89998,0.84784
0.90406,0.83804
0.9029,0.86316
0.90406,0.85838
0.9026,0.86422
0.90194,0.85628
0.90184,0.8428
0.899,0.84252
0.89916,0.85252
