,fold1,fold2,fold3,fold4,fold5
alpinus,0.57,0.43,0.83,0.74,0.59
argillaceus,0.92,0.57,0.52,0.6,0.56
balteatus,1.19,0.57,0.5,0.4,0.71
barbutellus,0.84,0.86,0.48,0.78,0.84
bohemicus,0.72,0.47,0.78,0.59,0.64
campestris,0.82,0.49,0.61,0.49,0.96
cingulatus,0.87,0.5,0.55,0.57,0.47
confusus,0.65,0.41,0.54,0.67,0.79
consobrinus,0.8,0.52,0.68,0.74,0.73
cryptarum,0.41,0.6,0.69,0.63,0.52
distinguendus,0.5,0.43,0.81,0.63,0.81
flavidus,0.73,0.4,0.78,0.76,0.43
gerstaeckeri,0.82,0.47,0.58,0.61,0.65
hortorum,0.53,0.5,0.62,0.86,0.87
humilis,0.66,0.85,0.65,0.6,0.59
hypnorum,0.74,0.51,0.48,0.73,0.47
jonellus,0.57,0.81,0.72,0.47,0.4
lapidarius,0.85,0.6,0.85,0.42,0.38
lapponicus,0.44,0.72,0.72,0.46,0.71
lucorum,0.94,0.43,0.7,0.41,0.57
magnus,0.73,0.59,0.72,0.49,0.79
mendax,0.62,0.63,0.78,0.66,0.48
mesomelas,0.44,0.63,0.63,0.49,0.65
monticola,0.43,0.69,0.86,0.72,0.61
mucidus,0.56,0.76,0.55,0.74,0.45
muscorum,0.66,0.56,0.92,0.56,0.47
norvegicus,0.44,0.51,0.51,0.65,0.69
pascuorum,0.62,0.61,0.56,0.79,0.44
polaris,0.46,0.89,0.64,0.53,0.58
pomorum,0.74,0.78,0.55,0.86,0.76
pratorum,0.39,0.79,0.42,0.62,0.67
pyrenaeus,0.6,0.88,0.73,0.72,0.4
quadricolor,0.89,0.79,0.56,0.76,0.67
ruderarius,0.74,0.7,0.42,0.93,0.57
ruderatus,0.84,0.4,0.65,0.5,0.9
rupestris,0.58,0.56,0.7,0.53,0.82
sichelii,0.68,0.62,0.49,0.85,0.59
soroeensis,0.63,0.58,0.51,0.53,0.64
sporadicus,0.56,0.8,0.39,0.63,0.61
subterraneus,0.47,0.51,0.72,0.53,0.55
sylvarum,0.74,0.53,0.57,0.77,0.5
sylvestris,0.72,0.66,0.92,0.52,0.79
terrestris,0.45,0.83,0.64,0.84,0.63
vestalis,0.93,0.51,0.38,0.66,0.51
veteranus,0.8,0.48,0.91,0.4,0.45
wurflenii,0.72,0.64,0.42,0.88,0.96
