CCV_AUC,SCV_AUC
0.71252,0.65778
0.70846,0.63686
0.70368,0.60074
0.70706,0.64496
0.7097,0.66786
0.70772,0.62562
0.7079,0.60974
0.71044,0.6664
0.70782,0.61048
0.70224,0.62842
