CCV_AUC,SCV_AUC
0.79966,0.70142
0.8019,0.65532
0.80014,0.7036
0.79948,0.6815
0.79654,0.68122
0.7961,0.70614
0.79474,0.68996
0.8031,0.70392
0.80198,0.67404
0.7961,0.70822
