CCV_AUC,SCV_AUC
0.93748,0.86836
0.93258,0.88276
0.93542,0.88862
0.9319,0.8923
0.93392,0.86736
0.93738,0.89696
0.93584,0.8662
0.93454,0.87836
0.93344,0.893
0.93566,0.86824
