CCV_AUC,SCV_AUC
0.76268,0.67834
0.76036,0.6943
0.7635,0.7003
0.75442,0.6686
0.75972,0.68158
0.75322,0.69134
0.759,0.68308
0.76554,0.68256
0.75594,0.66862
0.75782,0.6636
